date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
5/11/19,AAPL,6/7/19,200,Call,4.25,4.45,0.2502,0.4432,0.0289,-0.102,0.2156,0.0637
5/11/19,AAPL,6/7/19,200,Put,6.65,6.85,0.2468,-0.5619,0.0298,-0.0886,0.2133,-0.0724
5/11/19,AAPL,6/7/19,205,Call,2.4,2.53,0.2427,0.3026,0.0263,-0.0865,0.1906,0.0439
5/11/19,AAPL,6/7/19,205,Put,9.75,9.95,0.2372,-0.7087,0.0274,-0.0719,0.1913,-0.0827
5/11/19,AAPL,6/28/19,190,Call,11.8,12,0.2599,0.6818,0.019,-0.0768,0.2577,0.1645
5/11/19,AAPL,6/28/19,190,Put,3.9,4.05,0.2549,-0.3176,0.0196,-0.0632,0.2621,-0.0775
5/11/19,AAPL,6/28/19,192.5,Call,10.1,10.3,0.2543,0.6333,0.0205,-0.0785,0.2719,0.1539
5/11/19,AAPL,6/28/19,192.5,Put,4.65,4.85,0.2484,-0.3673,0.0213,-0.0646,0.2731,-0.0886
5/11/19,AAPL,6/28/19,197.5,Call,7.1,7.25,0.2432,0.5256,0.0227,-0.078,0.2876,0.1295
5/11/19,AAPL,6/28/19,197.5,Put,6.7,6.85,0.2395,-0.479,0.0235,-0.0647,0.2874,-0.1107
5/11/19,AAPL,6/28/19,200,Call,5.85,6,0.2398,0.4684,0.023,-0.0763,0.2873,0.116
5/11/19,AAPL,6/28/19,200,Put,7.85,8.1,0.2341,-0.5388,0.024,-0.0623,0.2872,-0.1211
5/11/19,AAPL,6/28/19,205,Call,3.75,3.9,0.232,0.3537,0.0222,-0.0681,0.2686,0.0885
5/11/19,AAPL,6/28/19,205,Put,10.85,11.05,0.228,-0.6578,0.0232,-0.0545,0.2666,-0.1366
5/18/19,AAPL,5/31/19,185,Call,6.7,6.9,0.3015,0.6583,0.0329,-0.1544,0.1358,0.0451
5/18/19,AAPL,5/31/19,185,Put,2.58,2.64,0.2997,-0.3417,0.0333,-0.1419,0.1366,-0.023
5/18/19,AAPL,5/31/19,190,Call,3.6,3.8,0.277,0.479,0.0389,-0.1518,0.1474,0.0333
5/18/19,AAPL,5/31/19,190,Put,4.5,4.65,0.2798,-0.5225,0.0389,-0.142,0.1479,-0.0334
